"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/13/2022","AQS","420010001","1","8.8","ppb","8","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/14/2022","AQS","420010001","1","4.8","ppb","4","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/15/2022","AQS","420010001","1","6","ppb","6","Arendtsville","22","92.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/16/2022","AQS","420010001","1","3.1","ppb","3","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/17/2022","AQS","420010001","1","1.9","ppb","1","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/20/2022","AQS","420010001","1","3.2","ppb","3","Arendtsville","21","88.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/21/2022","AQS","420010001","1","5.2","ppb","5","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/22/2022","AQS","420010001","1","3.1","ppb","3","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/23/2022","AQS","420010001","1","7.5","ppb","7","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/24/2022","AQS","420010001","1","5.8","ppb","5","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/25/2022","AQS","420010001","1","5.2","ppb","5","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
