Year,State,County,County Code,State Code,RUCC,FIPS,Pollutant concentration (PPM),State Name Code,County Full Name,Population,Pollutant,Max AQI
2018,California,Humboldt,023,06,5.0,06023,4.431055900621118,CA,Humboldt County,136502,NO2,150.0
2018,California,Imperial,025,06,3.0,06025,23.419103313840157,CA,Imperial County,181062,NO2,150.0
2018,California,Kern,029,06,2.0,06029,23.067616959064328,CA,Kern County,893618,NO2,150.0
2018,California,Los Angeles,037,06,1.0,06037,27.091402997502083,CA,Los Angeles County,10061533,NO2,150.0
2018,California,Madera,039,06,1.0,06039,12.641225626740946,CA,Madera County,156373,NO2,150.0
2018,Pennsylvania,Adams,001,42,3.0,42001,2.939068100358423,PA,Adams County,103035,NO2,150.0
2018,Pennsylvania,Allegheny,003,42,1.0,42003,16.603081232492997,PA,Allegheny County,1217508,NO2,150.0
2018,Pennsylvania,Cambria,021,42,3.0,42021,13.12391930835735,PA,Cambria County,131478,NO2,150.0
2018,Pennsylvania,Lackawanna,069,42,2.0,42069,20.457063711911356,PA,Lackawanna County,210301,NO2,150.0
2018,Pennsylvania,Philadelphia,101,42,1.0,42101,20.022155688622753,PA,Philadelphia County,1586422,NO2,150.0
2018,Pennsylvania,York,133,42,2.0,42133,16.50194552529183,PA,York County,448417,NO2,150.0
2018,Texas,Bexar,029,48,1.0,48029,13.018544366899302,TX,Bexar County,1981061,NO2,150.0
2018,Texas,Dallas,113,48,1.0,48113,17.3457761732852,TX,Dallas County,2629764,NO2,150.0
2018,Texas,El Paso,141,48,2.0,48141,31.235653235653235,TX,El Paso County,835590,NO2,150.0
2018,Texas,Harris,201,48,1.0,48201,18.54307897071872,TX,Harris County,4676913,NO2,150.0
2018,Texas,Harrison,203,48,2.0,48203,5.358379888268156,TX,Harrison County,66693,NO2,150.0
2018,Texas,Jefferson,245,48,2.0,48245,9.946691519105311,TX,Jefferson County,252655,NO2,150.0
2018,Texas,Tarrant,439,48,1.0,48439,17.64032258064516,TX,Tarrant County,2080998,NO2,150.0
2018,Texas,Travis,453,48,1.0,48453,17.14613259668508,TX,Travis County,1246693,NO2,150.0
2019,California,Alameda,001,06,1.0,06001,21.401722532588455,CA,Alameda County,1668412,NO2,150.0
2019,California,Butte,007,06,3.0,06007,14.428366762177651,CA,Butte County,218726,NO2,173.0
2019,California,Contra Costa,013,06,1.0,06013,12.65070323488045,CA,Contra Costa County,1152883,NO2,129.0
2019,California,Fresno,019,06,1.0,06019,20.022569444444443,CA,Fresno County,997847,NO2,187.0
2019,California,Humboldt,023,06,5.0,06023,5.724,CA,Humboldt County,135839,NO2,65.0
2019,California,Imperial,025,06,3.0,06025,20.959049360146253,CA,Imperial County,180439,NO2,185.0
2019,California,Kern,029,06,2.0,06029,23.879849012775843,CA,Kern County,898898,NO2,548.0
2019,California,Los Angeles,037,06,1.0,06037,26.129435483870967,CA,Los Angeles County,10011602,NO2,201.0
2019,California,Madera,039,06,1.0,06039,12.476685393258427,CA,Madera County,156717,NO2,140.0
2019,Pennsylvania,Adams,001,42,3.0,42001,3.807073954983923,PA,Adams County,102776,NO2,85.0
2019,Pennsylvania,Allegheny,003,42,1.0,42003,16.47354570637119,PA,Allegheny County,1215716,NO2,161.0
2019,Pennsylvania,Cambria,021,42,3.0,42021,14.506172839506172,PA,Cambria County,130107,NO2,88.0
2019,Pennsylvania,Lackawanna,069,42,2.0,42069,22.713872832369944,PA,Lackawanna County,209808,NO2,80.0
2019,Pennsylvania,Philadelphia,101,42,1.0,42101,24.066425120772948,PA,Philadelphia County,1584439,NO2,140.0
2019,Pennsylvania,York,133,42,2.0,42133,18.91111111111111,PA,York County,449341,NO2,93.0
2019,Texas,Bexar,029,48,1.0,48029,13.923361034164358,TX,Bexar County,2002445,NO2,169.0
2019,Texas,Dallas,113,48,1.0,48113,17.41407914764079,TX,Dallas County,2635603,NO2,143.0
2019,Texas,El Paso,141,48,2.0,48141,26.79536354056902,TX,El Paso County,837501,NO2,157.0
2019,Texas,Harris,201,48,1.0,48201,19.42024096385542,TX,Harris County,4709243,NO2,202.0
2019,Texas,Harrison,203,48,2.0,48203,6.57090395480226,TX,Harrison County,66484,NO2,90.0
2019,Texas,Jefferson,245,48,2.0,48245,10.229690522243713,TX,Jefferson County,251315,NO2,150.0
2019,Texas,Tarrant,439,48,1.0,48439,17.991129643669446,TX,Tarrant County,2101282,NO2,147.0
2019,Texas,Travis,453,48,1.0,48453,16.31578947368421,TX,Travis County,1273567,NO2,115.0
2020,California,Alameda,001,06,1.0,06001,20.980055274067247,CA,Alameda County,1680466,NO2,218.0
2020,California,Butte,007,06,3.0,06007,12.346111111111112,CA,Butte County,210151,NO2,379.0
2020,California,Contra Costa,013,06,1.0,06013,12.392468619246861,CA,Contra Costa County,1166069,NO2,197.0
2020,California,Fresno,019,06,1.0,06019,20.78995716325559,CA,Fresno County,1009552,NO2,298.0
2020,California,Humboldt,023,06,5.0,06023,5.567058823529412,CA,Humboldt County,136262,NO2,109.0
2020,California,Imperial,025,06,3.0,06025,21.484447674418604,CA,Imperial County,179612,NO2,166.0
2020,California,Kern,029,06,2.0,06029,21.819986168741355,CA,Kern County,905910,NO2,267.0
2020,California,Los Angeles,037,06,1.0,06037,25.827116864940514,CA,Los Angeles County,9992813,NO2,235.0
2020,California,Madera,039,06,1.0,06039,12.86923076923077,CA,Madera County,156345,NO2,250.0
2020,New York,Erie,029,36,1.0,36029,17.05400641025641,NY,Erie County,952342,NO2,155.0
2020,New York,Monroe,055,36,1.0,36055,12.578547854785478,NY,Monroe County,757551,NO2,80.0
2020,Pennsylvania,Adams,001,42,3.0,42001,3.7765042979942693,PA,Adams County,103798,NO2,86.0
2020,Pennsylvania,Allegheny,003,42,1.0,42003,15.45695652173913,PA,Allegheny County,1249565,NO2,128.0
2020,Pennsylvania,Cambria,021,42,3.0,42021,13.150769230769232,PA,Cambria County,133211,NO2,89.0
2020,Pennsylvania,Lackawanna,069,42,2.0,42069,23.083333333333332,PA,Lackawanna County,215539,NO2,81.0
2020,Pennsylvania,Philadelphia,101,42,1.0,42101,22.837047353760447,PA,Philadelphia County,1600684,NO2,119.0
2020,Pennsylvania,York,133,42,2.0,42133,17.936599423631122,PA,York County,456720,NO2,97.0
2020,Texas,Bexar,029,48,1.0,48029,11.148268398268398,TX,Bexar County,2015501,NO2,158.0
2020,Texas,Dallas,113,48,1.0,48113,16.212564671101255,TX,Dallas County,2610112,NO2,135.0
2020,Texas,El Paso,141,48,2.0,48141,30.300304568527917,TX,El Paso County,866606,NO2,192.0
2020,Texas,Harris,201,48,1.0,48201,17.861147612790187,TX,Harris County,4734792,NO2,179.0
2020,Texas,Harrison,203,48,2.0,48203,4.620612813370474,TX,Harrison County,68801,NO2,100.0
2020,Texas,Jefferson,245,48,2.0,48245,9.55506268081003,TX,Jefferson County,256133,NO2,122.0
2020,Texas,Tarrant,439,48,1.0,48439,16.19875419262099,TX,Tarrant County,2115840,NO2,159.0
2020,Texas,Travis,453,48,1.0,48453,20.461746361746364,TX,Travis County,1296613,NO2,153.0
2021,California,Alameda,001,06,1.0,06001,18.343393466601658,CA,Alameda County,1644047,NO2,151.0
2021,California,Butte,007,06,3.0,06007,10.412820512820513,CA,Butte County,206336,NO2,233.0
2021,California,Contra Costa,013,06,1.0,06013,10.994034090909091,CA,Contra Costa County,1163941,NO2,150.0
2021,California,Fresno,019,06,1.0,06019,19.453264925373137,CA,Fresno County,1013103,NO2,278.0
2021,California,Humboldt,023,06,5.0,06023,4.506134969325154,CA,Humboldt County,134897,NO2,60.0
2021,California,Imperial,025,06,3.0,06025,20.26813655761024,CA,Imperial County,179138,NO2,442.0
2021,California,Kern,029,06,2.0,06029,24.025697674418602,CA,Kern County,912709,NO2,316.0
