State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,State Code,County Code,FIPS,State Name,County Name,RUCC,State Name Code,County Full Name,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023
Texas,Bexar,2021,365,202,151,12,0,0,0,147,77,48,0,1,167,195,2,48,029,48029,Texas,Bexar,1.0,TX,Bexar County,1981061,2002445,2015501,2030981,2060191,2087679
Texas,Dallas,2021,365,267,88,9,1,0,0,174,70,42,0,18,233,112,2,48,113,48113,Texas,Dallas,1.0,TX,Dallas County,2629764,2635603,2610112,2588235,2601993,2606358
Texas,El Paso,2021,365,141,205,19,0,0,0,150,82,54,0,21,194,131,19,48,141,48141,Texas,El Paso,2.0,TX,El Paso County,835590,837501,866606,867499,867239,869880
Texas,Harris,2021,365,150,190,18,7,0,0,179,88,54,0,10,107,226,22,48,201,48201,Texas,Harris,1.0,TX,Harris County,4676913,4709243,4734792,4735517,4781337,4835125
Texas,Harrison,2021,362,286,72,3,1,0,0,158,60,39,0,0,173,189,0,48,203,48203,Texas,Harrison,2.0,TX,Harrison County,66693,66484,68801,69527,70038,70895
Texas,Jefferson,2021,365,295,67,3,0,0,0,115,58,39,0,1,225,139,0,48,245,48245,Texas,Jefferson,2.0,TX,Jefferson County,252655,251315,256133,253727,251601,251496
Texas,Tarrant,2021,365,233,118,12,1,1,0,209,77,46,0,14,214,137,0,48,439,48439,Texas,Tarrant,1.0,TX,Tarrant County,2080998,2101282,2115840,2129695,2155646,2182947
Texas,Travis,2021,365,249,115,1,0,0,0,101,64,43,0,6,185,170,4,48,453,48453,Texas,Travis,1.0,TX,Travis County,1246693,1273567,1296613,1308868,1327550,1334961
California,Alameda,2022,365,245,115,5,0,0,0,122,67,41,0,5,196,164,0,06,001,06001,California,Alameda,1.0,CA,Alameda County,1666596,1668412,1680466,1644047,1628259,1622188
California,Butte,2022,365,225,137,3,0,0,0,119,75,46,0,0,268,97,0,06,007,06007,California,Butte,3.0,CA,Butte County,230330,218726,210151,206336,207369,207172
California,Contra Costa,2022,365,256,107,2,0,0,0,129,64,43,0,0,191,174,0,06,013,06013,California,Contra Costa,1.0,CA,Contra Costa County,1150840,1152883,1166069,1163941,1157019,1155025
California,Fresno,2022,365,97,198,67,3,0,0,159,115,71,0,1,215,133,16,06,019,06019,California,Fresno,1.0,CA,Fresno County,991298,997847,1009552,1013103,1015359,1017162
California,Humboldt,2022,365,349,16,0,0,0,0,70,33,24,1,0,244,57,63,06,023,06023,California,Humboldt,5.0,CA,Humboldt County,136502,135839,136262,134897,134944,133985
California,Imperial,2022,365,114,204,34,5,2,6,762,106,58,0,4,157,72,132,06,025,06025,California,Imperial,3.0,CA,Imperial County,181062,180439,179612,179138,178940,179057
California,Kern,2022,365,65,178,109,12,1,0,289,136,80,0,0,212,124,29,06,029,06029,California,Kern,2.0,CA,Kern County,893618,898898,905910,912709,916751,913820
California,Los Angeles,2022,365,40,231,65,28,1,0,209,140,72,0,37,190,128,10,06,037,06037,California,Los Angeles,1.0,CA,Los Angeles County,10061533,10011602,9992813,9809462,9719765,9663345
California,Madera,2022,365,171,181,13,0,0,0,136,87,51,0,0,231,103,31,06,039,06039,California,Madera,1.0,CA,Madera County,156373,156717,156345,158966,160329,162858
New York,Erie,2022,365,295,68,2,0,0,0,150,56,39,0,16,195,153,1,36,029,36029,New York,Erie,1.0,NY,Erie County,919941,918813,952342,952912,948423,946147
New York,Monroe,2022,365,313,50,2,0,0,0,126,54,37,0,1,247,117,0,36,055,36055,New York,Monroe,1.0,NY,Monroe County,744239,742605,757551,755813,750887,748482
Pennsylvania,Adams,2022,365,292,73,0,0,0,0,97,55,41,0,0,230,135,0,42,001,42001,Pennsylvania,Adams,3.0,PA,Adams County,103035,102776,103798,105686,105959,106748
Pennsylvania,Allegheny,2022,365,186,168,10,1,0,0,151,82,49,0,0,137,228,0,42,003,42003,Pennsylvania,Allegheny,1.0,PA,Allegheny County,1217508,1215716,1249565,1245220,1232605,1224825
Pennsylvania,Cambria,2022,363,252,110,1,0,0,0,119,62,43,2,2,140,219,0,42,021,42021,Pennsylvania,Cambria,3.0,PA,Cambria County,131478,130107,133211,132237,131429,130668
Pennsylvania,Lackawanna,2022,363,315,48,0,0,0,0,71,54,38,4,38,193,128,0,42,069,42069,Pennsylvania,Lackawanna,2.0,PA,Lackawanna County,210301,209808,215539,216043,215750,216123
Pennsylvania,Philadelphia,2022,365,228,133,4,0,0,0,113,71,46,0,27,173,165,0,42,101,42101,Pennsylvania,Philadelphia,1.0,PA,Philadelphia County,1586422,1584439,1600684,1589623,1566836,1550542
Pennsylvania,York,2022,365,277,87,1,0,0,0,105,61,42,0,17,193,155,0,42,133,42133,Pennsylvania,York,2.0,PA,York County,448417,449341,456720,459183,461049,464640
Texas,Bexar,2022,365,192,160,12,1,0,0,194,80,49,0,1,162,201,1,48,029,48029,Texas,Bexar,1.0,TX,Bexar County,1981061,2002445,2015501,2030981,2060191,2087679
Texas,Dallas,2022,365,235,113,17,0,0,0,148,74,45,0,18,213,133,1,48,113,48113,Texas,Dallas,1.0,TX,Dallas County,2629764,2635603,2610112,2588235,2601993,2606358
Texas,El Paso,2022,365,134,211,19,1,0,0,163,84,54,0,15,183,149,18,48,141,48141,Texas,El Paso,2.0,TX,El Paso County,835590,837501,866606,867499,867239,869880
Texas,Harris,2022,365,128,210,22,5,0,0,179,93,55,0,8,126,184,47,48,201,48201,Texas,Harris,1.0,TX,Harris County,4676913,4709243,4734792,4735517,4781337,4835125
Texas,Harrison,2022,328,237,86,4,1,0,0,173,61,43,0,2,170,156,0,48,203,48203,Texas,Harrison,2.0,TX,Harrison County,66693,66484,68801,69527,70038,70895
Texas,Jefferson,2022,365,275,85,5,0,0,0,129,63,43,0,0,209,156,0,48,245,48245,Texas,Jefferson,2.0,TX,Jefferson County,252655,251315,256133,253727,251601,251496
Texas,Tarrant,2022,365,208,135,20,2,0,0,172,90,48,0,14,216,135,0,48,439,48439,Texas,Tarrant,1.0,TX,Tarrant County,2080998,2101282,2115840,2129695,2155646,2182947
Texas,Travis,2022,365,246,112,7,0,0,0,129,75,44,0,10,201,154,0,48,453,48453,Texas,Travis,1.0,TX,Travis County,1246693,1273567,1296613,1308868,1327550,1334961
California,Alameda,2023,213,170,35,8,0,0,0,104,62,40,2,18,137,56,0,06,001,06001,California,Alameda,1.0,CA,Alameda County,1666596,1668412,1680466,1644047,1628259,1622188
California,Butte,2023,181,148,33,0,0,0,0,87,57,43,0,0,157,24,0,06,007,06007,California,Butte,3.0,CA,Butte County,230330,218726,210151,206336,207369,207172
California,Contra Costa,2023,213,166,47,0,0,0,0,87,58,41,1,1,121,90,0,06,013,06013,California,Contra Costa,1.0,CA,Contra Costa County,1150840,1152883,1166069,1163941,1157019,1155025
California,Fresno,2023,243,118,105,19,1,0,0,151,93,51,0,0,204,38,1,06,019,06019,California,Fresno,1.0,CA,Fresno County,991298,997847,1009552,1013103,1015359,1017162
California,Humboldt,2023,233,202,20,6,3,2,0,274,58,31,0,0,144,71,18,06,023,06023,California,Humboldt,5.0,CA,Humboldt County,136502,135839,136262,134897,134944,133985
California,Imperial,2023,191,77,97,11,1,2,3,505,98,55,0,0,115,35,41,06,025,06025,California,Imperial,3.0,CA,Imperial County,181062,180439,179612,179138,178940,179057
California,Kern,2023,240,173,65,2,0,0,0,111,60,42,0,0,58,170,12,06,029,06029,California,Kern,2.0,CA,Kern County,893618,898898,905910,912709,916751,913820
California,Los Angeles,2023,212,74,118,18,2,0,0,192,100,58,0,8,122,76,6,06,037,06037,California,Los Angeles,1.0,CA,Los Angeles County,10061533,10011602,9992813,9809462,9719765,9663345
New York,Erie,2023,273,181,84,5,3,0,0,169,74,42,0,6,129,138,0,36,029,36029,New York,Erie,1.0,NY,Erie County,919941,918813,952342,952912,948423,946147
New York,Monroe,2023,273,205,60,3,5,0,0,170,65,40,0,0,134,139,0,36,055,36055,New York,Monroe,1.0,NY,Monroe County,744239,742605,757551,755813,750887,748482
Pennsylvania,Adams,2023,244,166,69,5,3,1,0,216,80,45,25,7,141,71,0,42,001,42001,Pennsylvania,Adams,3.0,PA,Adams County,103035,102776,103798,105686,105959,106748
Pennsylvania,Allegheny,2023,182,79,90,11,1,1,0,212,93,54,1,0,65,116,0,42,003,42003,Pennsylvania,Allegheny,1.0,PA,Allegheny County,1217508,1215716,1249565,1245220,1232605,1224825
Pennsylvania,Cambria,2023,244,188,53,0,3,0,0,187,64,38,2,42,70,107,23,42,021,42021,Pennsylvania,Cambria,3.0,PA,Cambria County,131478,130107,133211,132237,131429,130668
